OID_,Aspect,Slope,Elevation,Mean,CV,Trend,Solar,Cover_1972,Cover_2008,1972B,1972T,1972S,1972O,1972C,2008T,2008S,2008B,2008O,2008C,Texpand,Sexpand,Bexpand,Oexpand,X,Y
382,149.76297,4.11427,3232.08496,0.0784,1.124997645,-0.005452448,26.11549,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,448781,4435677
809,120.92719,14.39912,3232.47314,0.07961167,1.112208025,0.00751,25.06514,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,450432,4432311
407,142.85178,13.25518,3232.80664,0.07954333,1.226891668,-0.000173776,26.0459,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452389,4432706
620,146.87447,13.68219,3233.43359,0.06857417,1.421678609,0.001940245,26.12838,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452312,4432652
631,4.55194,8.31305,3234.29663,0.11852,0.79538693,0.017686434,24.83152,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450241,4432158
897,51.81282,2.35222,3234.49512,0.0761275,1.251366829,0.005457308,25.81977,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450355,4432123
165,105.68559,14.95253,3235.64062,0.48861083,0.567587054,-0.054228077,24.17431,S,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,446843,4431468
1558,93.99977,16.93881,3235.77344,0.08155917,1.105578091,-0.000239545,23.63841,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452459,4432810
892,91.74316,13.05002,3236.3147,0.08994667,1.060078198,-0.000607552,24.39073,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452327,4432682
443,33.98037,32.07195,3236.36206,0.10124,1.042559857,0.007984476,17.76381,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,450128,4432182
1723,4.71013,2.8509,3237.81372,0.08984833,0.741195201,-0.000543287,25.41208,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,448103,4431489
785,105.94298,33.12701,3238.11035,0.03498917,1.439232906,-0.00627493,20.32098,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,448771,4431526
850,138.72293,12.21024,3238.19214,0.14718,0.729024243,0.013557972,25.83867,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,448250,4431441
269,200.08498,26.89725,3238.57935,0.01723333,1.978618332,-0.002132308,27.18839,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,450488,4432409
738,29.5933,28.16664,3239.1394,0.23676417,0.9463257,-0.036438636,19.2118,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,450440,4435758
1017,129.36229,5.05369,3239.25854,0.06822833,1.251602512,-0.000591678,26.06877,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,452178,4432654
989,101.78239,21.14168,3239.44946,0.05796,1.349835941,-0.00227979,23.10264,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451739,4432511
1162,184.14851,8.71769,3239.80249,0.10695167,1.052925319,-0.00260979,26.95125,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449603,4432205
706,269.30194,19.00778,3240.32544,0.101685,0.896715807,0.008503916,26.36823,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,448565,4435644
295,167.99223,19.54712,3240.57764,0.04266833,1.635716955,-0.004973846,26.27893,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451948,4432577
215,171.7925,6.94693,3241.07544,0.21101833,0.759481105,0.009799371,26.73159,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449702,4432226
1549,280.93604,10.78531,3241.1394,0.21621,0.800820634,0.002215524,26.44622,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449673,4435749
1286,250.68797,6.50274,3241.35693,0.150545,0.678210533,0.00804986,26.68986,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449761,4432430
275,224.83162,22.75114,3241.42065,0.17659583,0.57346327,0.009403112,27.25276,T,O,0,1,0,0,0,0,0,0,1,0,-1,0,0,1,448589,4435626
1793,25.39762,11.20629,3241.79663,0.12805417,0.962786234,0.00936542,24.08616,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452343,4435813
872,174.90601,2.6467,3241.97119,0.06079917,1.467393577,0.005607587,26.4644,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452568,4435796
1686,223.26492,13.86255,3242.14404,0.08659417,0.871460717,-0.000784091,27.50272,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449890,4432369
1759,220.4382,19.74441,3242.35596,0.06591167,1.271918921,0.005307133,27.69652,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450761,4432316
1213,184.11182,2.76552,3242.39478,0.21101833,0.759481105,0.009799371,26.62731,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449711,4432239
